ProductID,Name,Condition,State,Price
5544,Product #5544,260737541-X,North Carolina,831.92
515,Product #515,567608398-0,New York,574.36
2247,Product #2247,600822777-8,Virginia,178.33
8878,Product #8878,585786288-4,New York,199.88
5532,Product #5532,227877046-2,Georgia,152.69
9861,Product #9861,989082669-0,Florida,355.41
7762,Product #7762,491513487-3,Missouri,470.63
8710,Product #8710,968301794-0,New York,250.43
2049,Product #2049,851132104-7,Minnesota,898.30
8659,Product #8659,515562761-3,District of Columbia,449.56
484,Product #484,022324329-9,Minnesota,79.78
4590,Product #4590,380637208-X,Vermont,983.75
1128,Product #1128,020735444-8,Louisiana,119.36
3716,Product #3716,321639265-1,California,855.88
7368,Product #7368,762168085-7,Alabama,786.91
6653,Product #6653,429432328-0,Minnesota,127.10
6326,Product #6326,633369745-1,Arizona,157.56
3016,Product #3016,299390006-4,Texas,661.63
7711,Product #7711,049035840-3,Oklahoma,57.01
4938,Product #4938,615969814-1,North Carolina,212.65
6959,Product #6959,272717350-4,Mississippi,319.86
2144,Product #2144,849003447-8,Pennsylvania,31.02
2851,Product #2851,515043585-6,Maryland,412.95
6027,Product #6027,244831593-0,Florida,117.19
4438,Product #4438,674473064-9,Alabama,961.38
7739,Product #7739,892411151-5,Iowa,52.68
2015,Product #2015,862884535-6,Ohio,262.54
2551,Product #2551,388232134-2,Pennsylvania,863.70
3006,Product #3006,199579158-X,Ohio,224.35
7927,Product #7927,003884153-3,Alaska,131.41
7436,Product #7436,906934326-6,Illinois,755.42
489,Product #489,648071036-3,Minnesota,393.16
2823,Product #2823,031691783-4,Alabama,659.53
8927,Product #8927,550427174-6,Utah,692.82
6750,Product #6750,663906891-5,New York,862.20
5923,Product #5923,016328934-4,California,700.36
1692,Product #1692,487721533-6,Texas,393.27
1791,Product #1791,176512558-8,California,695.84
741,Product #741,357535650-5,Ohio,922.63
774,Product #774,147932852-9,Colorado,381.11
8158,Product #8158,582436021-9,Texas,618.17
3107,Product #3107,861529401-1,Ohio,539.17
452,Product #452,491406816-8,New York,331.46
5897,Product #5897,177480406-9,New York,855.28
715,Product #715,344758454-8,Texas,89.35
4663,Product #4663,728751404-4,Washington,159.48
2628,Product #2628,742439152-6,Alabama,746.88
8253,Product #8253,105433806-X,Virginia,553.60
9469,Product #9469,096625715-4,Alabama,45.13
8649,Product #8649,229177898-6,California,416.54
994,Product #994,433457705-9,Iowa,432.33
7877,Product #7877,966087394-8,Georgia,398.79
3390,Product #3390,078972482-0,North Carolina,21.68
5946,Product #5946,395035572-3,Alabama,776.66
1548,Product #1548,478905494-2,Ohio,462.19
2327,Product #2327,148253489-4,Ohio,322.94
2130,Product #2130,924197154-1,Arizona,591.29
1743,Product #1743,313261598-6,Missouri,957.33
4971,Product #4971,102523652-1,Connecticut,179.85
322,Product #322,965426512-5,Florida,90.03
4781,Product #4781,656238556-3,New York,336.97
8751,Product #8751,156893955-8,Illinois,94.88
8110,Product #8110,515919226-3,Texas,740.16
8261,Product #8261,365866540-8,California,429.65
5013,Product #5013,043909467-4,Florida,246.26
7376,Product #7376,658675593-X,Alabama,402.32
5948,Product #5948,042224604-2,Florida,823.66
2167,Product #2167,447071555-7,Georgia,659.62
4598,Product #4598,549456790-7,California,275.37
5789,Product #5789,055353235-9,Ohio,655.67
2518,Product #2518,180956387-9,Iowa,132.15
8823,Product #8823,584943403-8,California,424.32
6868,Product #6868,855517007-9,New York,125.05
1,Product #1,979150291-9,Maryland,336.09
4885,Product #4885,461713559-6,Florida,398.28
8598,Product #8598,133393050-X,District of Columbia,286.83
9134,Product #9134,817497480-6,Texas,365.02
5280,Product #5280,864727184-X,Virginia,851.10
4946,Product #4946,721832789-3,California,693.92
2723,Product #2723,836734480-4,Nevada,567.53
2287,Product #2287,677674086-0,Kansas,237.06
5273,Product #5273,616973051-X,New York,100.96
7912,Product #7912,810729011-9,Florida,13.80
2198,Product #2198,033132305-2,California,12.30
2525,Product #2525,533438339-5,Texas,483.58
2307,Product #2307,080051869-1,Minnesota,958.68
5563,Product #5563,658178521-0,California,233.51
8442,Product #8442,455439446-8,Oregon,122.46
1335,Product #1335,667974249-8,Colorado,926.45
9306,Product #9306,791518124-6,New York,642.21
8469,Product #8469,388281289-3,Georgia,593.88
9741,Product #9741,934419599-4,Florida,197.33
7234,Product #7234,537992511-1,Ohio,64.23
1269,Product #1269,198651856-6,Louisiana,696.32
2520,Product #2520,106367564-2,Georgia,364.26
1377,Product #1377,840701280-7,Oklahoma,888.54
9667,Product #9667,564623700-9,Arizona,261.10
9117,Product #9117,794685041-7,Nevada,247.66
1156,Product #1156,749745245-2,Delaware,373.65
4137,Product #4137,562755721-4,Ohio,565.49
2066,Product #2066,299843490-8,Illinois,209.86
5348,Product #5348,213889086-4,Missouri,938.58
1121,Product #1121,264738873-3,Oklahoma,314.24
968,Product #968,001346530-9,California,744.16
1160,Product #1160,390609633-5,New York,769.55
2209,Product #2209,729552555-6,Missouri,221.24
6226,Product #6226,024435874-5,Texas,605.70
6213,Product #6213,786782005-1,New York,533.06
4294,Product #4294,936025204-2,Pennsylvania,471.53
5779,Product #5779,416902662-4,Arkansas,673.66
9285,Product #9285,314700577-1,Texas,862.89
8347,Product #8347,090301454-8,Oregon,580.52
8866,Product #8866,355338492-1,Texas,995.27
8732,Product #8732,878108270-3,Ohio,112.03
2821,Product #2821,854466696-5,Arkansas,181.63
4386,Product #4386,364047747-2,Alabama,120.59
5126,Product #5126,979053977-0,California,786.60
8935,Product #8935,251075269-3,Michigan,749.62
2284,Product #2284,813344360-1,Louisiana,31.04
1047,Product #1047,521335880-2,California,447.23
4630,Product #4630,518586126-6,Tennessee,355.63
4824,Product #4824,060462758-0,Connecticut,530.33
4572,Product #4572,190965959-2,Illinois,225.28
8128,Product #8128,922621340-2,Illinois,58.88
983,Product #983,146052982-0,West Virginia,565.94
2611,Product #2611,530742384-5,Florida,185.53
366,Product #366,491338271-3,Kansas,20.06
1436,Product #1436,734204885-2,Michigan,156.12
8174,Product #8174,004114474-0,District of Columbia,720.06
1652,Product #1652,587718124-6,Wisconsin,557.57
919,Product #919,059813387-9,Texas,507.74
6165,Product #6165,287631260-3,Louisiana,395.40
2194,Product #2194,468881122-5,Virginia,783.11
3229,Product #3229,983356078-4,California,488.90
4609,Product #4609,494453124-9,California,727.94
4589,Product #4589,162756214-1,Nevada,200.74
5567,Product #5567,373828991-7,Florida,872.80
1399,Product #1399,750187475-1,Kansas,385.12
4516,Product #4516,336467389-6,District of Columbia,85.85
7441,Product #7441,444234540-6,Arizona,598.89
4881,Product #4881,961911755-7,Florida,180.74
3093,Product #3093,163605301-7,Florida,350.11
6917,Product #6917,980681574-2,Florida,309.59
7783,Product #7783,292900721-4,Michigan,591.32
8166,Product #8166,545221532-8,Missouri,169.01
3880,Product #3880,285274551-8,Illinois,720.87
6824,Product #6824,714683663-0,Georgia,41.73
606,Product #606,979808235-4,Texas,820.38
7143,Product #7143,511809789-4,North Carolina,426.95
9049,Product #9049,675116960-4,Virginia,192.32
3162,Product #3162,227839422-3,Michigan,820.27
3679,Product #3679,202862976-2,Minnesota,685.00
8726,Product #8726,136541946-0,New Jersey,886.29
