ProductID,Name,Condition,State,Price
8954,Product #8954,337534988-2,California,11.39
566,Product #566,561585730-7,California,184.79
7753,Product #7753,164953823-5,Washington,95.85
2885,Product #2885,468293754-5,Arizona,217.46
4405,Product #4405,460131856-4,New York,835.83
2010,Product #2010,764619469-7,Ohio,420.56
8151,Product #8151,042694461-5,New York,860.16
780,Product #780,160083059-5,Colorado,826.47
422,Product #422,729509519-5,West Virginia,84.47
1797,Product #1797,881992453-6,Texas,316.47
5988,Product #5988,191308999-1,California,719.84
9828,Product #9828,395839280-6,Washington,302.59
236,Product #236,109974171-8,Alabama,672.15
4738,Product #4738,316880927-6,New Mexico,693.02
9607,Product #9607,075213636-4,California,786.43
9327,Product #9327,484456283-5,California,761.52
3916,Product #3916,545166502-8,Hawaii,370.02
8353,Product #8353,179966663-8,Vermont,133.93
2171,Product #2171,356553281-5,District of Columbia,545.52
2704,Product #2704,692217294-9,Virginia,525.39
3006,Product #3006,702916544-6,Michigan,373.55
4431,Product #4431,692352422-9,North Carolina,289.30
9248,Product #9248,231552958-1,Michigan,904.53
4971,Product #4971,936056939-9,Indiana,495.74
5203,Product #5203,911959210-8,Texas,655.91
1138,Product #1138,753576214-X,Maryland,142.05
4853,Product #4853,094031941-1,New York,237.22
9543,Product #9543,564086699-3,Indiana,321.61
7014,Product #7014,662115494-1,Colorado,92.85
3028,Product #3028,663145395-X,Texas,359.85
5053,Product #5053,951386807-9,California,974.70
2795,Product #2795,789606953-9,Louisiana,137.67
5942,Product #5942,067528127-X,Washington,234.06
557,Product #557,033726574-7,Arizona,354.15
3095,Product #3095,655309386-5,Texas,248.09
155,Product #155,819643336-0,California,884.34
2926,Product #2926,604640029-5,Missouri,955.77
8881,Product #8881,763922266-4,Texas,857.97
3323,Product #3323,145624498-1,Pennsylvania,815.68
1539,Product #1539,752570197-0,Minnesota,289.59
864,Product #864,815538935-9,California,318.47
910,Product #910,336492899-1,Rhode Island,785.73
3533,Product #3533,154552990-6,Pennsylvania,406.24
9292,Product #9292,433183217-1,California,778.03
